Tue Nov 20 16:27:19 2018	Helsinki	AKTIA.HE	430209184	9.54EUR	9.49EUR	9.25EUR	-0.0EUR(-3.04%)
Tue Nov 20 16:27:20 2018	Helsinki	AMEAS.HE	3921004544	34.45EUR	34.31EUR	34.03EUR	-0.0EUR(-1.22%)
Tue Nov 20 16:27:20 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:27:20 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:27:27 2018	Helsinki	ALBAV.HE	210756000	14.1EUR	14EUR	14EUR	-0.0EUR(-0.71%)
Tue Nov 20 16:27:27 2018	Helsinki	APETIT.HE	61937376	9.98EUR	10EUR	9.98EUR	0.0EUR(0.0%)
Tue Nov 20 16:27:27 2018	Helsinki	AM1.HE	1114454912	11.28647EUR	12.12EUR	11.6EUR	0.0EUR(2.78%)
Tue Nov 20 16:27:36 2018	Helsinki	ASPO.HE	283780640	9.28EUR	9.18EUR	9.12EUR	-0.0EUR(-1.72%)
Tue Nov 20 16:39:53 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:40:00 2018	Helsinki	AMEAS.HE	3926766080	34.45EUR	34.31EUR	34.08EUR	-0.0EUR(-1.07%)
Tue Nov 20 16:40:01 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:42:09 2018	Helsinki	AKTIA.HE	430674272	9.54EUR	9.49EUR	9.26EUR	-0.0EUR(-2.94%)
Tue Nov 20 16:42:17 2018	Helsinki	AMEAS.HE	3923309056	34.45EUR	34.31EUR	34.05EUR	-0.0EUR(-1.16%)
Tue Nov 20 16:42:18 2018	Helsinki	ACG1V.HE	23332750	3.72EUR	3.71EUR	3.5EUR	-0.0EUR(-5.91%)
Tue Nov 20 16:42:18 2018	Helsinki	ALTIA.HE	273944992	7.7EUR	7.699EUR	7.58EUR	-0.0EUR(-1.56%)
Tue Nov 20 16:42:18 2018	Helsinki	ALBBV.HE	209967104	13.3EUR	13.35EUR	13.3EUR	0.0EUR(0.0%)
Tue Nov 20 16:42:18 2018	Helsinki	ALBAV.HE	210756000	14.1EUR	14EUR	14EUR	-0.0EUR(-0.71%)
Tue Nov 20 16:42:25 2018	Helsinki	ALMA.HE	542169536	6.68EUR	6.64EUR	6.6EUR	-0.0EUR(-1.2%)
Tue Nov 20 16:42:25 2018	Helsinki	AM1.HE	1110611968	11.28647EUR	12.12EUR	11.56EUR	0.0EUR(2.42%)
Tue Nov 20 16:42:25 2018	Helsinki	AFAGR.HE	206848672	0.812EUR	0.81EUR	0.795EUR	-0.0EUR(-2.09%)
Tue Nov 20 16:42:25 2018	Helsinki	APETIT.HE	61937376	9.98EUR	10EUR	9.98EUR	0.0EUR(0.0%)
Tue Nov 20 16:42:34 2018	Helsinki	ASPO.HE	283780640	9.28EUR	9.18EUR	9.12EUR	-0.0EUR(-1.72%)
